Name,Population,Demand (education),Demand (household),Demand (peak institution),Demand (commercial),Demand (production),Demand (health),Demand (peak),Demand (lighting),Demand (total),Demand (peak household),Growth (household),Growth (population),Technology (standalone),Technology (standalone cost),Cost (grid extension initial),Cost (grid extension total),Cost (grid extension recurring),Cost (photovoltaic diesel initial),Cost (photovoltaic diesel total),Cost (photovoltaic diesel recurring),Cost (diesel initial),Cost (diesel total),Cost (diesel recurring),Cost (grid internal initial),Cost (grid internal total),Cost (grid internal recurring),Metric
NDADE,248.0,104.159960675,3281.71495363,1.04030740888,71.392946643,684.348986868,1765.82591106,1.93940739618,109.568687764,7078.83699605,0.899099987295,32,311,diesel,278438.252046,20.0,26.5542049128,1.06666666667,465122.5,854843.523753,63425.3019048,34167.5,278438.252046,39753.94,46560.0,108926.594197,10149.876,6383.6088637
KEUR MALICK FALL,102.0,100.54977407,1323.47770865,0.795669898486,67.8473545861,273.692636649,1720.2817884,1.15826653099,107.672650052,4227.67283813,0.362596632507,13,128,diesel,217612.87118,20.0,26.5542049128,1.06666666667,83372.5,219906.963873,22220.3552381,14217.5,217612.87118,33101.66,21290.0,59587.1450867,6232.684,5951.06223714
SANTHIOU DIADJI,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
BAYAKH PEULH,364.0,107.531652505,4854.36771607,1.24086350575,74.8785597359,1019.58253895,1808.21565433,2.57082726358,111.415463665,9383.51951206,1.32996375783,47,456,diesel,326458.289572,20.0,26.5542049128,1.06666666667,1000622.5,1681525.13722,110813.768571,49917.5,326458.289572,45005.74,66510.0,147878.790862,13242.396,6725.09304256
NGONDAM,89.0,100.246830954,1119.19560506,0.770646825728,67.5592300236,231.277220141,1716.4515368,1.07727575862,107.517618145,3932.05651897,0.306628932894,11,111,photovoltaic diesel,194781.897015,20.0,26.5542049128,1.06666666667,70472.5,194781.897015,20230.7819048,12117.5,211210.19951,32401.42,18630.0,54393.5188646,5820.348,5286.86054097
GATY TOYE II,233.0,103.753521145,3074.02593435,1.01413650724,70.9838108054,640.459242161,1760.70715327,1.85633539337,109.350896186,6775.62418578,0.842198886124,30,292,diesel,272035.580376,20.0,26.5542049128,1.06666666667,436022.5,804952.93035,60041.7285714,32067.5,272035.580376,39053.7,43900.0,103732.967974,9737.54,6338.07763985
NGNANDOUL II,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
MBAMBA,13.0,98.6456125429,101.428107069,0.645830572037,66.0619719999,20.8763711607,1696.18194698,0.673619094522,106.709230999,2458.709695,0.0277885224846,1,16,photovoltaic diesel,60882.5631719,20.0,26.5542049128,1.06666666667,1247.5,60882.5631719,9705.33190476,1617.5,179196.84116,28900.22,5330.0,28425.3877541,3758.668,1222.29889859
MAKA TARE,201.0,102.922818896,2659.62009417,0.961885439446,70.1552863934,553.080676983,1750.23866716,1.69054847895,108.909112319,6170.50194815,0.728663039499,26,252,diesel,259230.237036,20.0,26.5542049128,1.06666666667,377822.5,705171.743542,53274.5819048,27867.5,259230.237036,37653.22,38580.0,93345.7155303,8912.868,6247.01519216
DALDAGOU,199.0,102.861851846,2557.0088764,0.949725412911,70.0948908184,531.668142351,1749.47000911,1.65027579001,108.876867971,6023.50663353,0.700550377097,25,249,diesel,256028.901201,20.0,26.5542049128,1.06666666667,363272.5,680226.44684,51582.7952381,26817.5,256028.901201,37303.1,37250.0,90748.9024192,8706.7,6224.24958023
